supplier_sap_name;Supplier_ID;Main_Point_of _Contact;Main_HACAT;Responsible_Buyer;Preferred_for_HACAT;available_for_gpe_code;Preferred_for_COUNTRY
PEREDOVYE PLATEZHNYE RESCHENIYA;2186216;;CS2021;Fridrikh Maria;;;
PEREDOVYE PLATEZHNYE RESCHENIYA;OF0002704;;CS2001;Fridrikh Maria;;;
PestControlStandard LLC;OF0003034;;CS5006;Yaremenko Natalia;;;
PHARM2B RUS, LLC;OF0002673;;MC2009;Levin Sergey;;;
PJSC MOBILE TELESYSTEMS;2182384;;CS4016;Sviridova Irina;;;
PJSC MOBILE TELESYSTEMS;OF0000278;;CS4016;Sviridova Irina;;;
PJSC VIMPELCOM;2145646;;CS4017;Sviridova Irina;;;
PJSC VIMPELCOM;OF0000013;;CS4016;Sviridova Irina;;;
Premium Standard LLC;OF0003218;;CD3001;Levin Sergey;;;
PROMIS JSC;OF0001465;;CD3004;Levin Sergey;;;
PROMUPAKOVKA, LLC;OF0003199;;CD3002;Levin Sergey;;;
RADARE LLC;2337163;arthur.klepikov@radare.ru;MK4003;Mikhailina Tatiana;;;
SAINZ LLC;OF0003248;;RD2002;Pakalo Grigroriy;;;
SARL MALESHERBES AUTOTECH;11042407;;CS2021;Fridrikh Maria;;;
SARTORIUS AG;OF0002595;;MC2009;Levin Sergey;;;
Sinera LLC;OF0003098;;MC2002;Levin Sergey;;;
SISLINK;2311293;;CS4004;Sviridova Irina;;;
SOCIÉTÉ GÉNÉRALE SA;OF0002717;dmitry.drozhzhin@expomobility.com;CS2021;Fridrikh Maria;;;
Soctrade Service LLC;OF0002643;;RD2007;Pakalo Grigroriy;;;
SOFTLINE GROUP INC.;2037356;;CS4003;Sviridova Irina;;;
SOFTLINE GROUP INC.;2189887;;CS4003;Sviridova Irina;;;
SPIRAX-SARCO ENGINEERING PLC;OF0002206;;CD6002;Levin Sergey;;;
SPO FSUE ANALYTICAL INSTRUMENT;OF0002371;;MC2002;Levin Sergey;;;
STRANDIVE TRADING LIMITED;2281859;;CS5024;Fridrikh Maria;;;
TALENTBURST;OF0000490;;MC1019;Levin Sergey;;;
TECHVODPROEKT LLC;OF0003047;;MC2002;Levin Sergey;;;
TK ELITE AUTO LLC;2283451;a.deev@ibf-motors.ru;CS2006;Fridrikh Maria;;;
TOO OSG REKORDS MANAGEMENT;2262353;;CS5035;Yaremenko Natalia;;;
TORGOVY DOM PT LLC;OF0002626;;CD5004;Pakalo Grigroriy;;;
TORGOVYI DOM KHIMMED;OF0002210;;CD2004;Levin Sergey;;;
TOVARISH. S OGRANICHENNOI OTVETSTVENNOSTYU;2196527;Mariya.Chapash@aeroclub.ru;CS2009;Fridrikh Maria;;;
TOVARISH. S OGRANICHENNOI OTVETSTVENNOSTYU;OF0002665;Mariya.Chapash@aeroclub.ru;CS2009;Fridrikh Maria;;;
UFPS of Orlov Region;OF0003133;;CD5011;Pakalo Grigroriy;;;
UNITED PARCEL SERVICE INC;11017190;;RD1050;Pakalo Grigroriy;;;
Ventra Services CIS Limited Liability Company;OF0003290;i.rimmer@ventra.ru;CS2015;Fridrikh Maria;;;
VNIIFTRI FSUE;OF0001364;;MC2002;Levin Sergey;;;
VOSTOK POST, LLC;OF0003318;;RD2007;Pakalo Grigroriy;;;
Vostok-Spetsodezhda, LLC;OF0003263;;CS5042;Yaremenko Natalia;;;
WEST PHARMACEUTICAL SERVICES, INC.;OF0002201;;CD3028;Levin Sergey;;;
АО Информационное агентство;2334463;;CS5034;Yaremenko Natalia;;;
АО Компания развития общественных с;2264494;Aleksey Kalenov <kalenov@cros.ru>;MK1015;Mikhailina Tatiana;;;
АО Юникон Бизнес Сервис;2287758;;CS5008;Yaremenko Natalia;;;
Зеленая Роща УК ООО;OF0003040;;MC3009;Levin Sergey;;;
ИП Синицын Леонид Юрьевич;2333404;;MC3009;Levin Sergey;;;
ООО Адвайзерская Группа ВОЕНКОМ;2337124;info@voenkom.ru;CS6006;Fridrikh Maria;;;
ООО Адвентум Консалтинг;2301018;Позднякова Марина <m.pozdnyakova@adventum.ru>;MK1017;Mikhailina Tatiana;;;
ООО Альфа Ресеч и Маркетинг;2313681;;MK3001;Mikhailina Tatiana;;;
ООО АсстрА Рус;2245805;;CD5003;Pakalo Grigroriy;;;
ООО БЕСТ БЕНЕФИТС;2334023;v.petrukhina@bestbenefits.ru;CS2018;Fridrikh Maria;;;
ООО Верба Лигал;2336519;;CS6003;Yaremenko Natalia;;;
ООО ВЛМ Групп;2315488;Tatiana Voronina <t.voronina@vlmgroup.ru>;MK3004;Mikhailina Tatiana;;;
ООО ВМЕСТЕ;2328999;;MK3004;Mikhailina Tatiana;;;
ООО ГИФТЕРИ.РУ;2337909;dm@giftery.ru;CS2018;Fridrikh Maria;;;
ООО ГРИЭЙТИВ;2334741;marie.tivtikyan@greative.pro;MK1015;Mikhailina Tatiana;;;
ООО Здоровье Города;2324016;Эрик Бровко <brovko@zdorgor.ru>;MK1013;Mikhailina Tatiana;;;
ООО Интеллектуальные социальные;2313257;s.fattakhova@mozlab.ru;CS2001;Fridrikh Maria;;;
ООО Интермарк Релокация;2335575;R.Matyash@intermarkrelocation.com;CS2017;Fridrikh Maria;;;
ООО ИНТЕРСИТИ СЕРВИС;2334388;;MK2012;Mikhailina Tatiana;;;
ООО КАРБОН ЗИРО;2337338;;MC3001;Levin Sergey;;;
ООО КИП-ЛЕГАЛТЕХ;2328841;;CS5028;Yaremenko Natalia;;;
ООО Климовская Сеть;2312803;;CS4017;Sviridova Irina;;;
ООО Консалтинговый центр 223;2056042;;CD4008;Pakalo Grigroriy;;;
ООО Медклуб;2329120;Сергей Тюлюпин <sergey.tyulyupin@med-club.ru>;MK1013;Mikhailina Tatiana;;;
ООО Ориён фарм;2332415;;RD1034;Pakalo Grigroriy;;;
ООО Палиндром;2333239;;MK1013;Mikhailina Tatiana;;;
ООО СЕЛЛАУТ ПЛЮС;2323086;;CS4011;Sviridova Irina;;;
ООО СОЗВЕЗДИЕ;2329975;;CD4001;Pakalo Grigroriy;;;
ООО СТОУНБРИДЖ ЛИГАЛ;2337553;;CS6003;Yaremenko Natalia;;;
ООО Экспомобилити;2072655;dmitry.drozhzhin@expomobility.com;CS2021;Fridrikh Maria;;;
ООО Юридическая фирма Городисский и;2059921;;CS6003;Yaremenko Natalia;;;
